metric,quantile,value
self_reference_ratio,min,0.0
self_reference_ratio,q25,0.25748696506776747
self_reference_ratio,median,0.39470115950274465
self_reference_ratio,q75,0.590627010326731
self_reference_ratio,max,1.0
external_reference_share,min,0.0
external_reference_share,q25,0.40937298967326896
external_reference_share,median,0.6052988404972554
external_reference_share,q75,0.7425130349322325
external_reference_share,max,1.0
non_project_reference_share,min,0.0
non_project_reference_share,q25,0.1436011904761904
non_project_reference_share,median,0.266850742543367
non_project_reference_share,q75,0.4615384615384615
non_project_reference_share,max,0.9936238044633368
unresolved_target_reference_records,min,0.0
unresolved_target_reference_records,q25,10.0
unresolved_target_reference_records,median,81.0
unresolved_target_reference_records,q75,690.0
unresolved_target_reference_records,max,69647.0
comment_reference_density,min,0.0
comment_reference_density,q25,1.3992554754273505
comment_reference_density,median,1.7026388740169658
comment_reference_density,q75,2.488787652336242
comment_reference_density,max,34.62385321100918
project_age_years_at_2023_end,min,0.0985626283367556
project_age_years_at_2023_end,q25,2.8487337440109513
project_age_years_at_2023_end,median,6.535249828884326
project_age_years_at_2023_end,q75,9.587953456536619
project_age_years_at_2023_end,max,14.954140999315538
